LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),16,94,56.276592,37.72340774536133
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),19,56,66.23027,-10.230270385742188
Swale District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,-0.08276037,0.08276037126779556
Merton London Boro,Demand,EV Charging Point,London Power Networks (LPN),12,0,-0.082135625,0.0821356251835823
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,49,41.959976,7.0400238037109375
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.835232,-3.8352317810058594
East Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,3,9.39243,-6.392430305480957
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,26.135353,-3.1353530883789062
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),10,0,0.06281007,-0.06281007081270218
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),9,28,30.742554,-2.7425537109375
Redbridge London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.2064694,0.20646940171718597
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),9,23,31.383266,-8.38326644897461
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),9,31,31.786533,-0.7865333557128906
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,42,44.628124,-2.628124237060547
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,27,23.370312,3.629688262939453
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),18,61,61.802284,-0.8022842407226562
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),19,61,66.44421,-5.444206237792969
Waverley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,26,21.976017,4.023983001708984
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),14,52,49.65116,2.3488388061523438
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,22,22.886513,-0.8865127563476562
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,23,34.769905,-11.769905090332031
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),7,27,26.874443,0.12555694580078125
Elmbridge District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),21,62,68.72971,-6.729713439941406
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,19,23.06326,-4.063259124755859
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,28.204897,-1.2048969268798828
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.20963086,-0.20963086187839508
Mid Sussex District,Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
St. Albans District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),9,32,25.570505,6.429494857788086
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,39,32.521408,6.4785919189453125
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,42,32.899853,9.100147247314453
Rother District,Demand,EV Charging Point,South Eastern Power Networks (SPN),11,0,-0.058666267,0.05866626650094986
Eastbourne District (B),Generation,Solar PV,South Eastern Power Networks (SPN),14,51,49.65116,1.3488388061523438
Ipswich District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),7,13,11.359802,1.64019775390625
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),6,17,22.886513,-5.886512756347656
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.115936,-3.115936279296875
Bromley London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.56631,-4.566310882568359
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),7,27,24.933512,2.066488265991211
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,48,49.97817,-1.9781684875488281
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,28,29.060411,-1.0604114532470703
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,26,28.514223,-2.514223098754883
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,48,39.113667,8.886333465576172
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,26,49.971382,-23.97138214111328
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),9,26,31.184141,-5.184141159057617
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,38,40.830288,-2.8302879333496094
Mid Suffolk District,Demand,Heat Pump,Eastern Power Networks (EPN),11,0,0.32600498,-0.3260049819946289
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),107,307,342.25436,-35.254364013671875
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),14,56,51.646015,4.353984832763672
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,31,29.56631,1.4336891174316406
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),8,39,28.925598,10.07440185546875
Waltham Forest London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.50794685,0.5079468488693237
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),10,34,35.754807,-1.7548065185546875
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),8,24,28.8295,-4.829500198364258
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),9,29,31.383266,-2.3832664489746094
Lewes District,Generation + Demand,Battery Storage,South Eastern Power Networks (SPN),10,50,42.89311,7.106891632080078
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,30.115936,-5.115936279296875
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),26,93,89.94976,3.0502395629882812
Merton London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.009179374,0.0091793742030859
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),11,34,37.660263,-3.6602630615234375
Dacorum District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,22,29.009773,-7.009773254394531
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),6,29,22.795174,6.204826354980469
Buckinghamshire,Demand,Heat Pump,Eastern Power Networks (EPN),8,0,0.10667436,-0.10667435824871063
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,33,39.960003,-6.960002899169922
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,23.6635,-2.6634998321533203
Newham London Boro,Generation,Solar PV,London Power Networks (LPN),6,18,22.375008,-4.375007629394531
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),75,210,222.19046,-12.190460205078125
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),23,68,81.80281,-13.802810668945312
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,17,21.876118,-4.876117706298828
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,20,25.168552,-5.168552398681641
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),17,55,57.942516,-2.942516326904297
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.115936,-3.115936279296875
Dartford District (B),Generation,Solar PV,London Power Networks (LPN),11,30,34.48959,-4.489589691162109
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,39,36.85304,2.146961212158203
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),18,64,61.5342,2.465801239013672
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,18,23.605808,-5.605808258056641
Redbridge London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.31299734,0.31299734115600586
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,61,36.821083,24.178916931152344
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.807386,-3.8073863983154297
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),9,33,31.786533,1.2134666442871094
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),10,34,36.558002,-2.558002471923828
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),53,52,144.31294,-92.31294250488281
Redbridge London Boro,Generation,Solar PV,London Power Networks (LPN),8,20,29.068392,-9.068391799926758
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),16,50,56.609344,-6.609344482421875
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,17,22.886513,-5.886512756347656
Central Bedfordshire,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,35,29.834396,5.1656036376953125
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),8,19,30.612436,-11.612436294555664
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.239513,-0.23951339721679688
Kingston upon Thames London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.43399,-0.433990478515625
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,26,22.795174,3.2048263549804688
